KOname	ko
DEFA; defensin, alpha	K05230
DEFB103; beta-defensin 103	K23126
DEFB1; beta-defensin 1	K23125
DEFB4; beta-defensin 4	K21100
DEF; defensin	K20668
degP, htrA; serine protease Do	K04771
degQ, hhoA; serine protease DegQ	K04772
DEGS; sphingolipid 4-desaturase/C4-monooxygenase	K04712
degS; two-component system, NarL family, sensor histidine kinase DegS	K07777
degU; two-component system, NarL family, response regulator DegU	K07692
dehH; haloacetate dehalogenase	K01561
DEK; protein DEK	K17046
DELLA; DELLA protein	K14494
denA; T4 deoxyribonuclease II	K20841
denB; T4 deoxyribonuclease IV	K20842
denD; D-erythronate 2-dehydrogenase	K22025
DENND1; DENN domain-containing protein 1	K20160
DENND2; DENN domain-containing protein 2	K20161
DENND3; DENN domain-containing protein 3	K20162
DENND4; DENN domain-containing protein 4	K20163
DENND5; DENN domain-containing protein 5	K20164
DENR, TMA22; density-regulated protein	K24272
denV; endonuclease V	K21522
deoA, TYMP; thymidine phosphorylase	K00758
deoB; phosphopentomutase	K01839
deoC, DERA; deoxyribose-phosphate aldolase	K01619
deoD; purine-nucleoside phosphorylase	K03784
deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	K11534
deoR; deoxyribonucleoside regulator	K05346
DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1	K16054
DEPDC5; DEP domain-containing protein 5	K20404
DEPTOR; DEP domain-containing mTOR-interacting protein	K20402
derK; D-erythrulose 4-kinase	K20902
DERL1; Derlin-1	K11519
DERL2_3; Derlin-2/3	K13989
DES3; acyl-CoA 15-desaturase	K21707
DES4, des1; acyl-lipid (7-3)-desaturase (Delta-4 desaturase)	K12418
DES5; acyl-lipid (8-3)-desaturase	K21735
desA2; acyl-[acyl-carrier-protein] desaturase	K03922
desA3; NADPH-dependent stearoyl-CoA 9-desaturase	K22769
DES; acyl-lipid omega-(9-4) desaturase	K21706
DESA; sphingolipid 10-desaturase	K21733
desA; syringate O-demethylase	K15064
DESAT1; (11Z)-hexadec-11-enoyl-CoA conjugase	K21709
desB, galA; gallate dioxygenase	K04099
desC2; sn-2 palmitoyl-lipid 9-desaturase	K23036
desC; sn-1 stearoyl-lipid 9-desaturase	K23054
DES; desmin	K07610
DESI1, PPPDE2; desumoylating isopeptidase 1	K22762
DESI2, PPPDE1; deubiquitinase DESI2	K22763
desI, eryCIV; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	K13308
desII, eryCV; dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase	K13309
desK; two-component system, NarL family, sensor histidine kinase DesK	K07778
DESN; Delta11-fatty-acid desaturase	K18247
desR; two-component system, NarL family, response regulator DesR	K07693
desV, eryCI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase	K13310
desVI, eryCVI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase	K13311
desVIII; narbonolide/10-deoxymethynolide desosaminyltransferase auxiliary protein	K16005
desVII; narbonolide/10-deoxymethynolide desosaminyltransferase	K16004
desZ; 3-O-methylgallate 3,4-dioxygenase	K15065
DET1; de-etiolated-1	K10571
DET2; steroid 5-alpha-reductase	K09591
devR; two-component system, NarL family, response regulator DevR	K07695
devS; two-component system, NarL family, sensor histidine kinase DevS	K07682
dexA; dextranase	K05988
dexB; glucan 1,6-alpha-glucosidase	K01215
DFFA, DFF45; DNA fragmentation factor, 45 kD, alpha subunit	K02310
DFFB, DFF40; DNA fragmentation factor, 40 kD, beta subunit	K02311
DFNA5; non-syndromic hearing impairment protein 5	K22146
dfrA10, dfr10; dihydrofolate reductase (trimethoprim resistance protein)	K19643
dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein)	K18590
dfrA19, dfrA18; dihydrofolate reductase (trimethoprim resistance protein)	K19644
dfrA1, dhfr; dihydrofolate reductase (trimethoprim resistance protein)	K18589
dfrB, dfr2; dihydrofolate reductase (trimethoprim resistance protein)	K19645
DFR; bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase	K13082
dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein)	K18591
dfx; superoxide reductase	K05919
dgaA; D-glucosaminate PTS system EIIA component	K17464
dgaB; D-glucosaminate PTS system EIIB component	K17465
dgaC; D-glucosaminate PTS system EIIC component	K17466
dgaD; D-glucosaminate PTS system EIID component	K17467
dgaE; D-glucosaminate-6-phosphate ammonia-lyase	K17468
dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase	K17463
dgaR; sigma-54 dependent transcriptional regulator, dga operon transcriptional activator	K17473
DGAT1; diacylglycerol O-acyltransferase 1	K11155
DGAT2; diacylglycerol O-acyltransferase 2	K11160
DGAT2; diacylglycerol O-acyltransferase 2, plant	K22848
DGAT2L3, AWAT1; diacylglycerol O-acyltransferase 2-like protein 3	K11171
DGAT2L4, MFAT, AWAT2; diacylglycerol O-acyltransferase 2-like protein 4	K11156
DGAT2L6; diacylglycerol O-acyltransferase 2-like protein 6	K11172
DGAT3; diacylglycerol O-acyltransferase 3, plant	K22849
dgcA; dimethylglycine catabolism A	K21833
dgcB; diguanylate cyclase	K13590
dgcB; dimethylglycine catabolism B	K21834
DGCR14; protein DGCR14	K13118
DGD; digalactosyldiacylglycerol synthase	K09480
dge1; diguanylate cyclase	K18967
DGK1; diacylglycerol kinase (CTP)	K16368
dgkA, DGK; diacylglycerol kinase (ATP)	K00901
dgkA; undecaprenol kinase	K00887
dgk; deoxyguanosine kinase	K15518
DGLUCY; D-glutamate cyclase	K22210
dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase	K01631
dgoD; galactonate dehydratase	K01684
dgoK; 2-dehydro-3-deoxygalactonokinase	K00883
dgoR; GntR family transcriptional regulator, galactonate operon transcriptional repressor	K19776
dgoT; MFS transporter, ACS family, D-galactonate transporter	K08194
dgs, bgsA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase	K13677
dgt; dGTPase	K01129
DGUOK; deoxyguanosine kinase	K00904
dhaa; 3-hydroxy-D-aspartate aldolase	K18425
dhaA; haloalkane dehalogenase	K01563
dhaB; glycerol dehydratase large subunit	K06120
dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK	K05878
dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL	K05879
dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM	K05881
DHAR; glutathione dehydrogenase/transferase	K21888
dhaR; transcriptional activator for dhaKLM operon	K05880
dhaT; 1,3-propanediol dehydrogenase	K00086
dhbC; glycerol dehydratase medium subunit	K06121
DHBD; 2,3-dihydroxybenzoate decarboxylase	K14333
dhbE; glycerol dehydratase small subunit	K06122
dhbF; glyine---[glycyl-carrier protein] ligase	K04780
DHCR24, DWF1; Delta24-sterol reductase	K09828
DHCR7; 7-dehydrocholesterol reductase	K00213
dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator	K17737
DHDDS, RER2, SRT1; ditrans,polycis-polyprenyl diphosphate synthase	K11778
DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	K00078
DHFR, folA; dihydrofolate reductase	K00287
DHFR-TS; dihydrofolate reductase / thymidylate synthase	K13998
DHFS; dihydrofolate synthase	K20457
DHH; desert hedgehog	K11990
DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1	K15791
dhl1; DDT-dehydrochlorinase	K22678
DHODH, pyrD; dihydroorotate dehydrogenase	K00254
dhpH; 2,6-dihydroxypyridine 3-monooxygenase	K19189
dhponh; 2,6-dihydroxypseudooxynicotine hydrolase	K19188
DHPS, dys; deoxyhypusine synthase	K00809
DHR2; ATP-dependent RNA helicase DHR2	K14781
DHRS11; 17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase	K22970
DHRS12; dehydrogenase/reductase SDR family member 12	K11168
DHRS13; dehydrogenase/reductase SDR family member 13	K11169
DHRS1; dehydrogenase/reductase SDR family member 1	K11163
DHRS2; dehydrogenase/reductase SDR family member 2	K11164
DHRS3; short-chain dehydrogenase/reductase 3	K11146
DHRS4; dehydrogenase/reductase SDR family member 4	K11147
DHRS4L2; dehydrogenase/reductase SDR family member 4-like protein 2	K11148
DHRS7B; dehydrogenase/reductase SDR family member 7B	K11166
DHRS7C; dehydrogenase/reductase SDR family member 7C	K11167
DHRS7; dehydrogenase/reductase SDR family member 7	K11165
DHRS9; dehydrogenase/reductase SDR family member 9	K11149
DHRSX; dehydrogenase/reductase SDR family member X	K11170
DHX15, PRP43; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43	K12820
DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	K12813
DHX29; ATP-dependent RNA helicase DHX29	K18995
DHX30; ATP-dependent RNA helicase DHX30	K13185
DHX32; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	K18994
DHX33; ATP-dependent RNA helicase DHX33	K17820
DHX34; ATP-dependent RNA helicase DHX34	K20101
DHX35; ATP-dependent RNA helicase DDX35	K13117
DHX36, RHAU; ATP-dependent RNA helicase DHX36	K14442
DHX37, DHR1; ATP-dependent RNA helicase DHX37/DHR1	K14780
DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16	K12815
DHX40, DDX40; ATP-dependent RNA helicase DHX40	K18711
DHX57; ATP-dependent RNA helicase DHX57	K13026
DHX58, LGP2; ATP-dependent RNA helicase DHX58	K12649
DHX8, PRP22; ATP-dependent RNA helicase DHX8/PRP22	K12818
DHX9; ATP-dependent RNA helicase A	K13184
DIA2, POF3; protein DIA2	K15068
diaA; DnaA initiator-associating protein	K12961
DIABLO, SMAC; diablo	K10522
DIA; diaphanous	K16688
DIAPH1; diaphanous 1	K05740
DIAPH2; diaphanous 2	K05741
DIAPH3, DRF3; diaphanous 3	K05745
DIB, CYP302A1; ecdysteroid 22-hydroxylase	K10721
dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	K22300
dicB; cell division inhibition protein DicB	K22304
dicC; transcriptional repressor of cell division inhibition gene dicB	K22302
DICER1, DCR1; endoribonuclease Dicer	K11592
dicF; small regulatory RNA DicF	K18517
DICGT; chalcononaringenin 2'-O-glucosyltransferase	K13078
DIG1; down-regulator of invasive growth 1	K11241
DIG2; down-regulator of invasive growth 2	K11242
DIM1; 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase	K14191
dinB; DNA polymerase IV	K02346
dinD; DNA-damage-inducible protein D	K14623
dinG; ATP-dependent DNA helicase DinG	K03722
dinI; DNA-damage-inducible protein I	K12149
dinJ; DNA-damage-inducible protein J	K07473
DIO1; type I thyroxine 5'-deiodinase	K01562
DIO2; type II thyroxine 5'-deiodinase	K17904
DIO3; thyroxine 5-deiodinase	K07754
diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase	K00464
DIOX4, IB2; feruloyl-CoA 6-hydroxylase / trans-4-coumaroyl-CoA 2-hydroxylase	K23378
DIP2A; disco-interacting protein 2 homolog A	K24907
DIP2B; disco-interacting protein 2 homolog B	K24908
DIP2C; disco-interacting protein 2 homolog C	K24909
DIP2, UTP12, WDR3; U3 small nucleolar RNA-associated protein 12	K14556
dipps; CDP-L-myo-inositol myo-inositolphosphotransferase	K07291
DIRAS1; DIRAS family, GTP-binding Ras-like 1	K07840
DIRAS2; DIRAS family, GTP-binding Ras-like 2	K07841
DIRAS3, NOEY2; DIRAS family, GTP-binding Ras-like 3	K07842
DIRC2, SLC49A3; MFS transporter, FLVCR family, disrupted in renal carcinoma protein 2	K15381
DIS3L2; DIS3-like exonuclease 2	K18758
DIS3L; DIS3-like exonuclease 1	K18681
DIS3, RRP44; exosome complex exonuclease DIS3/RRP44	K12585
disA; diadenylate cyclase	K07067
DISC1; disrupted in schizophrenia 1 protein	K16534
DISP1; protein dispatched 1	K24680
DISP2; protein dispatched 2	K24681
DISP3, PTCHD2; protein dispatched 3	K24683
divIC, divA; cell division protein DivIC	K13052
divIVA; cell division initiation protein	K04074
divJ; two-component system, cell cycle sensor histidine kinase DivJ	K11357
divK; two-component system, cell cycle response regulator DivK	K11443
DJ1D; D-lactate dehydratase	K18881
djlA; DnaJ like chaperone protein	K05801
DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4	K11131
dke1; acetylacetone-cleaving enzyme	K20148
dkgA; 2,5-diketo-D-gluconate reductase A	K06221
dkgB; 2,5-diketo-D-gluconate reductase B	K06222
DKK; dickkopf	K02165
dksA; DnaK suppressor protein	K06204
DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	K00627
DLC; deleted in liver cancer protein	K20632
DLD3; (R)-2-hydroxyglutarate---pyruvate transhydrogenase	K21618
dld; D-lactate dehydrogenase (acceptor)	K21836
dld; D-lactate dehydrogenase	K18930
dld; D-lactate dehydrogenase (quinone)	K03777
DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	K00382
DLG1; disks large protein 1	K12076
DLG2; discs large protein 2	K12075
DLG3; discs large protein 3	K21098
DLG4, PSD95; discs large protein 4	K11828
DLG5; discs large protein 5	K24050
DLGAP1, GKAP; discs, large-associated protein 1	K15008
DLGAP5, DLG7; disks large-associated protein 5	K16804
dlgD; 3-dehydro-L-gulonate 2-dehydrogenase	K08092
DLK1; protein delta homolog 1	K24461
DLK2, EGFL9; protein delta homolog 2	K24462
DLL; delta	K06051
DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	K00658
dltA; D-alanine--poly(phosphoribitol) ligase subunit 1	K03367
dltB; membrane protein involved in D-alanine export	K03739
dltC; D-alanine--poly(phosphoribitol) ligase subunit 2	K14188
dltD; D-alanine transfer protein	K03740
dltE; uncharacterized oxidoreductase	K14189
DLX1_4_6; homeobox protein DLX1/4/6	K09314
DLX2; homeobox protein DLX2	K18488
DLX3; homeobox protein DLX3	K09315
DLX5; homeobox protein DLX5	K18489
DMA1_2; E3 ubiquitin-protein ligase DMA1/2	K23787
DMAP1, SWC4, EAF2; DNA methyltransferase 1-associated protein 1	K11324
DMAS1; 3''-deamino-3''-oxonicotianamine reductase	K22374
DMBT1; deleted in malignant brain tumors 1 protein	K13912
DMBX1; diencephalon/mesencephalon homeobox protein 1	K24893
DMC1; meiotic recombination protein DMC1	K10872
dmdA; dimethylmaleate hydratase large subunit	K20452
dmdA; dimethylsulfoniopropionate demethylase	K17486
dmdB; 3-(methylthio)propionyl---CoA ligase	K20034
dmdB; dimethylmaleate hydratase small subunit	K20453
dmdC; 3-(methylthio)propanoyl-CoA dehydrogenase	K20035
dmdD; (methylthio)acryloyl-CoA hydratase	K20036
DMD; dystrophin	K10366
dmd-tmd; dimethylamine/trimethylamine dehydrogenase	K00317
DMGDH; dimethylglycine dehydrogenase	K00315
dmg; dimethylglycine oxidase	K00309
dml; 2,3-dimethylmalate lyase	K20454
dmlR; LysR family transcriptional regulator, transcriptional activator for dmlA	K16135
dmmA; dimethylamine monooxygenase subunit A	K22342
dmmB; dimethylamine monooxygenase subunit B	K22343
dmmC; dimethylamine monooxygenase subunit C	K22344
DMN; desmuslin	K10376
dmoA; dimethyl-sulfide monooxygenase	K16967
DMP1; dentin matrix acidic phosphoprotein 1	K23328
dmp; 5'-deoxynucleotidase	K21510
dmpA, dap; D-aminopeptidase	K01266
dmpB, xylE; catechol 2,3-dioxygenase	K00446
dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase	K10217
dmpD, xylF; 2-hydroxymuconate-semialdehyde hydrolase	K10216
dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase	K01617
DMPK; dystrophia myotonica-protein kinase	K08788
dmpK, poxA, tomA0; phenol/toluene 2-monooxygenase (NADH) P0/A0	K16249
dmpL, poxB, tomA1; phenol/toluene 2-monooxygenase (NADH) P1/A1	K16243
dmpM; O-demethylpuromycin O-methyltransferase	K12635
dmpM, poxC, tomA2; phenol/toluene 2-monooxygenase (NADH) P2/A2	K16244
dmpN, poxD, tomA3; phenol/toluene 2-monooxygenase (NADH) P3/A3	K16242
dmpO, poxE, tomA4; phenol/toluene 2-monooxygenase (NADH) P4/A4	K16245
dmpP, poxF, tomA5; phenol/toluene 2-monooxygenase (NADH) P5/A5	K16246
DMR6, DLO; salicylic acid 3-hydroxylase	K24028
dmrA; dihydromethanopterin reductase	K17364
DMRT1; doublesex- and mab-3-related transcription factor 1	K19488
DMRT2; doublesex- and mab-3-related transcription factor 2	K19489
DMRT3; doublesex- and mab-3-related transcription factor 3	K19490
DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5	K19491
DMRT6, DMRTB; doublesex- and mab-3-related transcription factor 6	K19492
DMRT7, DMRTC2; doublesex- and mab-3-related transcription factor 7	K19493
DMRT8, DMRTC1; doublesex- and mab-3-related transcription factor 8	K19494
dmrX; dihydromethanopterin reductase (acceptor)	K18853
dmsA; anaerobic dimethyl sulfoxide reductase subunit A	K07306
dmsB; anaerobic dimethyl sulfoxide reductase subunit B	K07307
dmsB; dimethyl sulfoxide reductase iron-sulfur subunit	K00184
dmsC; anaerobic dimethyl sulfoxide reductase subunit C	K07308
dmsC; dimethyl sulfoxide reductase membrane subunit	K00185
dmsD; putative dimethyl sulfoxide reductase chaperone	K23349
dmsR; HTH-type transcriptional regulator, dimethyl sulfoxide reductase transcription regulator	K23348
DMTF1, DMP1; cyclin-D-binding Myb-like transcription factor 1	K21625
dmt; methyltransferase	K21507
DMWD; dystrophia myotonica WD repeat-containing protein	K24731
DMXL; DmX-like protein	K24155
DNA2; DNA replication ATP-dependent helicase Dna2	K10742
dnaA; chromosomal replication initiator protein	K02313
DNAAF1, LRRC50, ODA7; dynein assembly factor 1, axonemal	K19750
DNAAF2, KTU, PF13; dynein assembly factor 2, axonemal	K19751
DNAAF3, PF22; dynein assembly factor 3, axonemal	K19752
DNAAF5; dynein assembly factor 5, axonemal	K19759
DNAAF6, PIH1D3; dynein assembly factor 6, axonemal	K24253
dnaB; replication initiation and membrane attachment protein	K03346
dnaB; replicative DNA helicase	K02314
dnaC; DNA replication protein DnaC	K02315
dnaD; DNA replication protein	K02086
dnaE2; error-prone DNA polymerase	K14162
dnaE; DNA polymerase III subunit alpha	K02337
dnaG; DNA primase	K02316
DNAH; dynein heavy chain, axonemal	K10408
DNAI1; dynein intermediate chain 1, axonemal	K10409
DNAI2; dynein intermediate chain 2, axonemal	K11143
DNAI3, WDR63; dynein intermediate chain 3, axonemal	K24722
DNAI4, WDR78; dynein intermediate chain 4, axonemal	K24723
dnaI; primosomal protein DnaI	K11144
DNAJA1; DnaJ homolog subfamily A member 1	K09502
DNAJA2; DnaJ homolog subfamily A member 2	K09503
DNAJA3; DnaJ homolog subfamily A member 3	K09504
DNAJA4; DnaJ homolog subfamily A member 4	K09505
DNAJA5; DnaJ homolog subfamily A member 5	K09506
DNAJB11; DnaJ homolog subfamily B member 11	K09517
DNAJB12; DnaJ homolog subfamily B member 12	K09518
DNAJB13; DnaJ homolog subfamily B member 13	K09519
DNAJB14; DnaJ homolog subfamily B member 14	K09520
DNAJB1; DnaJ homolog subfamily B member 1	K09507
DNAJB2; DnaJ homolog subfamily B member 2	K09508
DNAJB3; DnaJ homolog subfamily B member 3	K09509
DNAJB4; DnaJ homolog subfamily B member 4	K09510
DNAJB5; DnaJ homolog subfamily B member 5	K09511
DNAJB6; DnaJ homolog subfamily B member 6	K09512
DNAJB7; DnaJ homolog subfamily B member 7	K09513
DNAJB8; DnaJ homolog subfamily B member 8	K09514
DNAJB9; DnaJ homolog subfamily B member 9	K09515
DNAJC10; DnaJ homolog subfamily C member 10	K09530
DNAJC11; DnaJ homolog subfamily C member 11	K09531
DNAJC12; DnaJ homolog subfamily C member 12	K09532
DNAJC13; DnaJ homolog subfamily C member 13	K09533
DNAJC14; DnaJ homolog subfamily C member 14	K09534
DNAJC15; DnaJ homolog subfamily C member 15	K09535
DNAJC16; DnaJ homolog subfamily C member 16	K09536
DNAJC17; DnaJ homolog subfamily C member 17	K09537
DNAJC18; DnaJ homolog subfamily C member 18	K09538
DNAJC19; DnaJ homolog subfamily C member 19	K09539
DNAJC1; DnaJ homolog subfamily C member 1	K09521
DNAJC22; DnaJ homolog subfamily C member 22	K19370
DNAJC25; DnaJ homolog subfamily C member 25	K19371
DNAJC27; DnaJ homolog subfamily C member 27	K19372
DNAJC28; DnaJ homolog subfamily C member 28	K19373
DNAJC2; DnaJ homolog subfamily C member 2	K09522
DNAJC30; DnaJ homolog subfamily C member 30	K19374
DNAJC3; DnaJ homolog subfamily C member 3	K09523
DNAJC4; DnaJ homolog subfamily C member 4	K09524
DNAJC5; DnaJ homolog subfamily C member 5	K09525
DNAJC6; DnaJ homolog subfamily C member 6	K09526
DNAJC7; DnaJ homolog subfamily C member 7	K09527
DNAJC8; DnaJ homolog subfamily C member 8	K09528
DNAJC9; DnaJ homolog subfamily C member 9	K09529
dnaJ; molecular chaperone DnaJ	K03686
dnaK, HSPA9; molecular chaperone DnaK	K04043
DNAL1; dynein light chain 1, axonemal	K10411
DNAL4; dynein light chain 4, axonemal	K10412
DNALI; dynein light intermediate chain, axonemal	K10410
dnaN; DNA polymerase III subunit beta	K02338
dnaQ; DNA polymerase III subunit epsilon	K02342
DNASE1; deoxyribonuclease-1	K11994
DNASE1L; deoxyribonuclease-1-like protein	K11995
DNASE2; deoxyribonuclease II	K01158
dnaT; DNA replication protein DnaT	K02317
dnaX; DNA polymerase III subunit gamma/tau	K02343
DND1; dead end 1	K24981
dndB; DNA sulfur modification protein DndB	K19169
dndC; DNA sulfur modification protein DndC	K19170
dndD; DNA sulfur modification protein DndD	K19171
dndE; DNA sulfur modification protein DndE	K19172
DNER; delta and Notch-like epidermal growth factor-related receptor	K24463
dnhA_B; 2,4-dinitroanisole O-demethylase	K20837
dnk; deoxynucleoside-5'-monophosphate kinase	K21500
dnk; deoxynucleoside kinase	K05961
DNM1_3; dynamin 1/3	K01528
DNM1L; dynamin 1-like protein	K17065
DNM2; dynamin 2	K23484
DNMBP, ARHGEF36, TUBA; dynamin-binding protein	K20705
DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1	K00558
DNMT3A; DNA (cytosine-5)-methyltransferase 3A	K17398
DNMT3B; DNA (cytosine-5)-methyltransferase 3B	K17399
DNMT3L; DNA (cytosine-5)-methyltransferase 3-like	K17400
DNPEP; aspartyl aminopeptidase	K01267
DNPH1; 2'-deoxynucleoside 5'-phosphate N-hydrolase	K22928
dnr; CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator	K21563
dnrF, rdmE; aklavinone 12-hydroxylase	K15950
dnrK, dauK; carminomycin 4-O-methyltransferase	K15954
dnrP, dauP; 10-carbomethoxy-13-deoxycarminomycin esterase	K15953
dnrQ; glycosyltransferase auxiliary protein	K15952
dnrS; glycosyltransferase	K15951
dnrU; daunorubicin C-13 ketoreductase	K15956
dntB; 4-methyl-5-nitrocatechol 5-monooxygenase	K21683
DNTT; DNA nucleotidylexotransferase	K00977
DNTTIP1; deoxynucleotidyltransferase terminal-interacting protein 1	K08707
DOC2A; double C2-like domain-containing protein alpha	K19916
DOC2B; double C2-like domain-containing protein beta	K19917
DOC2G; double C2-like domain-containing protein gamma	K19918
doc; death on curing protein	K07341
DOCK1; dedicator of cytokinesis protein 1	K13708
DOCK2; dedicator of cytokinesis protein 2	K12367
DOCK3; dedicator of cytokinesis protein 3	K05727
DOCK4; dedicator of cytokinesis protein 4	K17697
DOCK5; dedicator of cytokinesis protein 5	K17707
DOCK6_7_8; dedicator of cytokinesis protein 6/7/8	K21852
DOCK9_10_11; dedicator of cytokinesis protein 9/10/11	K21853
DODA; DOPA 4,5-dioxygenase	K10253
doeA; ectoine hydrolase	K15783
doeB; N2-acetyl-L-2,4-diaminobutanoate deacetylase	K15784
doeC; aspartate-semialdehyde dehydrogenase	K15786
doeD; L-2,4-diaminobutyrate transaminase	K15785
doeX; Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes	K15782
DOHH; deoxyhypusine monooxygenase	K06072
DOK1; docking protein 1	K14752
DOK2; docking protein 2	K20234
DOK3; docking protein 3	K24036
DOK4_5_6, IRS5_6; docking protein 4/5/6	K24037
DOK7; docking protein 7	K24038
dokD; D-ornithine/D-lysine decarboxylase	K23385
DOLK; dolichol kinase	K00902
DOLPP1; dolichyldiphosphatase	K07252
DOME; cytokine receptor domeless	K19599
DONSON; protein downstream neighbor of Son	K22422
DOPA; 4,5-DOPA dioxygenase extradiol	K15777
dopDH; 2,5-dioxopentanoate dehydrogenase	K19588
DopEcR; dopamine/ecdysteroid receptor	K22919
dop; Pup amidohydrolase	K20814
dos; c-di-GMP-specific phosphodiesterase	K13243
DOS; protein daughter of sevenless	K20231
DOT1L, DOT1;	K11427
dotA; defect in organelle trafficking protein DotA	K12202
dotB, traJ; defect in organelle trafficking protein DotB	K12203
dotC, traI; defect in organelle trafficking protein DotC	K12204
dotD, traH; defect in organelle trafficking protein DotD	K12205
DOX1; drimenol monooxygenase	K22691
doxA, CYP129A; 13-deoxydaunorubicin hydroxylase	K15955
DOX; alpha-dioxygenase	K10529
doxA; thiosulfate dehydrogenase (quinone) small subunit	K16936
doxB; heme bearing subunit I of the terminal oxidase	K16933
doxC; terminal oxidase subunit	K16934
doxDA; thiosulfate dehydrogenase (quinone)	K05908
doxD; thiosulfate dehydrogenase (quinone) large subunit	K16937
doxE; terminal oxidase small hydrophobic subunit	K16935
DPB11; DNA replication regulator DPB11	K03507
DPCD; protein DPCD	K20800
dpck; GTP-dependent dephospho-CoA kinase	K09735
dpd; D-proline dehydrogenase	K17851
dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase	K18910
DPEP; membrane dipeptidase	K01273
DPF2, REQ; zinc finger protein ubi-d4	K13196
dpgA; 3,5-dihydroxyphenylacetyl-CoA synthase	K16424
dpgB; isomerase DpgB	K16425
dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase	K16427
dpgD; dehydration protein DpgD	K16426
DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase	K07561
DPH2; diphthamide biosynthesis protein 2	K17866
DPH3, KTI11; diphthamide biosynthesis protein 3	K15455
DPH4, DNAJC24; diphthamide biosynthesis protein 4	K17867
DPH5; diphthine methyl ester synthase	K00586
dph5; diphthine synthase	K20215
DPH6; diphthine-ammonia ligase	K06927
DPH7, RRT2; diphthine methyl ester acylhydrolase	K17868
dpiA, citB; two-component system, CitB family, response regulator CitB	K07702
dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	K07700
dpkA, lhpD; delta1-piperideine-2-carboxylate reductase	K13609
DPM1; dolichol-phosphate mannosyltransferase	K00721
DPM2; dolichol phosphate-mannose biosynthesis regulatory protein	K09658
DPM3; dolichol-phosphate mannosyltransferase subunit 3	K09659
dpo; DNA polymerase bacteriophage-type	K02334
DPP10; inactive dipeptidyl peptidase 10	K23014
DPP1, DPPL, PLPP4_5; diacylglycerol diphosphate phosphatase / phosphatidate phosphatase	K18693
DPP3; dipeptidyl-peptidase III	K01277
DPP4, CD26; dipeptidyl-peptidase 4	K01278
DPP6; dipeptidyl aminopeptidase-like protein 6	K23013
DPP7; dipeptidyl-peptidase II	K01276
DPP8; dipeptidyl-peptidase 8	K08655
DPP9; dipeptidyl-peptidase 9	K08656
dppA1; D-amino peptidase	K16203
dppA; dipeptide transport system substrate-binding protein	K12368
dppB1; dipeptide transport system permease protein	K16200
dppB; dipeptide transport system permease protein	K12369
dppC; dipeptide transport system permease protein	K12370
dppC; dipeptide transport system permease protein	K16201
dppD; dipeptide transport system ATP-binding protein	K12371
dppD; dipeptide transport system ATP-binding protein	K16202
